main/loss,main/nll,lr,epoch,iteration,elapsed_time,validation/main/loss,validation/main/nll
1309.6634857177735,1309.6634857177735,0.0009999100035999167,0,10,3.105142004000072,,
424.10772094726565,424.10772094726565,0.000999810017099032,0,20,5.348665325999946,,
519.8027221679688,519.8027221679688,0.0009997100405963481,0,30,8.49425139799996,,
789.6226104736328,789.6226104736328,0.000999610074090864,0,40,10.727940811000053,,
695.0195220947265,695.0195220947265,0.0009995101175815809,0,50,13.870616033000033,,
588.5641906738281,588.5641906738281,0.0009994101710674988,0,60,16.16460609899991,,
266.6488494873047,266.6488494873047,0.0009993102345476183,0,70,18.465470758000038,,
221.78056793212892,221.78056793212892,0.00099921030802094,0,80,20.439786828000024,,
201.53327522277831,201.53327522277831,0.0009991103914864653,1,90,25.549541810999926,252.43789672851562,252.43789672851562
132.1261724948883,132.1261724948883,0.000999010484943194,1,100,28.186058586999934,,
345.3987533569336,345.3987533569336,0.0009989105883901274,1,110,30.560995308999964,,
473.24826583862307,473.24826583862307,0.0009988107018262667,1,120,33.421955202999925,,
261.67075119018557,261.67075119018557,0.000998710825250613,1,130,35.690347859999974,,
370.4584678649902,370.4584678649902,0.000998610958662167,1,140,38.44917103700004,,
245.48906326293945,245.48906326293945,0.0009985111020599307,1,150,40.72612422399993,,
192.98404998779296,192.98404998779296,0.0009984112554429052,1,160,43.51928907599995,,
